"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb",
"This will list all the shipping methods.","This will list all the shipping methods.","Dit zal een lijst van alle scheepvaart methoden.","Esto mostrará una lista de todos los métodos de envío.","这将列出所有的运输方式。","Dadurch werden alle Versandarten aufzulisten.","Cela listera toutes les méthodes d'expédition.","Questo elenco di tutti i metodi di spedizione.","Isto irá listar todos os métodos de transporte.","Αυτό θα εμφανίσει όλες τις μεθόδους αποστολής.","Będzie to lista wszystkich metod wysyłki.","Dette vil liste alle shipping metoder.","Tämä listaa kaikki toimitustapoja.","Dette vil liste alle fraktmetoder.","وهذا سرد كافة وسائل النقل البحري.","이 모든 배송 방법을 나열합니다.","これは、すべての配送方法が一覧表示されます。","זה יפרט את כל שיטות המשלוח.","Detta kommer att lista alla transportsätt.","Tím se seznam všech způsobů přepravy.","Это будет список всех способов доставки.","Ito ay listahan ng lahat ng mga pamamaraan sa pagpapadala.","Kini ilista ang tanan nga mga pamaagi sa shipping.",
"This will list all the shipping processors.","This will list all the shipping processors.","Dit zal een lijst van alle scheepvaart processors.","Esto mostrará una lista de todos los procesadores de envío.","这将列出所有的货处理器。","Dadurch werden alle Versand Prozessoren aufzulisten.","Cela va lister tous les processeurs d'expédition.","Questo elencherà tutti i processori di spedizione.","Isto irá listar todos os processadores de envio.","Αυτό θα εμφανίσει όλες τις επεξεργαστές ναυτιλία.","Będzie to lista wszystkich procesorów wysyłki.","Dette vil liste alle shipping processorer.","Tämä listaa kaikki merenkulun prosessorit.","Dette vil liste alle frakt prosessorer.","وهذه القائمة كافة المعالجات الشحن.","이 모든 운송 프로세서를 나열합니다.","これは、すべての出荷のプロセッサが一覧表示されます。","זה יוצג רשימה של כל מעבדי המשלוח.","Detta kommer att lista alla frakt processorer.","To všechny dostupné procesory dopravu.","Это будет список всех груза процессоров.","Ito ay listahan ng lahat ng mga processors pagpapadala.","Kini ilista ang tanan nga mga shipping processors.",
"This will list all the shippings in all orders.","This will list all the shippings in all orders.","Dit zal een lijst van alle verzendingen in alle bestellingen.","Esto mostrará una lista de todos los envíos de todos los pedidos.","这将列出所有的订单全部包邮。","Dadurch werden alle Frachtkosten bei allen Bestellungen aufzulisten.","Cela listera toutes les expéditions dans tous les ordres.","Questo elencherà tutte le spedizioni di tutti gli ordini.","Isto irá listar todos os embarques em todas as ordens.","Αυτό θα εμφανίσει όλες τις Αποστολές σε όλες τις παραγγελίες.","Będzie to lista wszystkich shippings we wszystkich zleceń.","Dette vil liste alle Shippings i alle ordrer.","Tämä listaa kaikki tonnistoja kaikkiaan tilauksia.","Dette vil liste alle shippings i alle bestillinger.","وهذه القائمة كل شحن لجميع أوامر.","이 모든 주문의 모든 shippings을 나열합니다.","これは、すべての注文内のすべてのshippingsが一覧表示されます。","זה יוצג רשימה של כל shippings בכל ההזמנות.","Detta kommer att lista alla sändnings i alla order.","Tím se seznam všech shippings ve všech objednávek.","Это будет список всех отгрузок по всем заказам.","Ito ay listahan ng lahat ng mga shippings sa lahat ng mga order.","Kini ilista ang tanan nga mga shippings sa tanan nga mga sugo.",
"This will list all the shippings of the current order.","This will list all the shippings of the current order.","Dit zal een lijst van alle verzendingen van de huidige bestelling.","Esto mostrará una lista de todos los envíos de la orden actual.","这将列出当前订单的所有运送。","Dadurch werden alle Frachtkosten des laufenden Auftrages aufzulisten.","Cela listera toutes les expéditions de l'ordre actuel.","Questo elenco di tutte le spedizioni dell'ordine corrente.","Isto irá listar todos os embarques da ordem vigente.","Αυτό θα εμφανίσει όλες τις Αποστολές της τρέχουσας παραγγελίας.","Będzie to lista wszystkich shippings bieżącego zamówienia.","Dette vil liste alle Shippings i den aktuelle rækkefølge.","Tämä listaa kaikki tonnistoja nykyisen järjestyksen.","Dette vil liste alle shippings av dagens orden.","وهذه القائمة كل شحن لمن النظام الحالي.","이것은 현재 순서의 모든 shippings을 나열합니다.","これは、現在の注文のすべてshippingsが一覧表示されます。","זה יוצג רשימה של כל shippings של הסדר הנוכחי.","Detta kommer att lista alla sändnings i den nuvarande ordningen.","Tím se seznam všech shippings aktuálního pořadí.","Это будет список всех отгрузок текущего заказа.","Ito ay listahan ng lahat ng mga shippings ng kasalukuyang order.","Kini ilista ang tanan nga mga shippings sa sa kasamtangan nga order.",
"This will list all the simple products that are applicable to be associated to the configurable product.","This will list all the simple products that are applicable to be associated to the configurable product.","Dit zal een lijst van alle eenvoudige producten die van toepassing zijn in verband worden gebracht met de configureerbare product.","Esto mostrará una lista de todos los productos simples que se pueden aplicar para ser asociado al producto configurable.","这将列出所有适用于相关联的可配置的产品简单的产品。","Dadurch werden alle einfachen Produkte,  die für den konfigurierbaren Produkt in Verbindung gebracht werden sind,  aus.","Cela va lister tous les produits simples qui sont applicables à être associé au produit configurable.","Questo elenco di tutti i prodotti semplici che sono applicabili ad essere associato al prodotto configurabile.","Isto irá listar todos os produtos simples que são aplicáveis ​​a ser associado ao produto configurável.","Αυτό θα εμφανίσει όλα τα απλά προϊόντα που εφαρμόζονται πρέπει να συνδέεται με το ρυθμιζόμενο προϊόν.","Będzie to lista wszystkich proste produkty,  które mają zastosowanie do związane z produktem konfigurowalnym.","Dette vil liste alle de simple produkter,  der gælder for at være forbundet til det konfigurerbare produkt.","Tämä listaa kaikki yksinkertainen tuotteita,  jotka ovat sovellettavissa olevan yhteydessä konfiguroitavissa tuote.","Dette vil liste alle de enkle produkter som er aktuelt å være forbundet til den konfigurerbare produktet.","وهذه القائمة جميع المنتجات البسيطة التي يمكن تطبيقها لتكون مرتبطة على المنتج شكلي.","이 구성 제품에 연결할 수에 적용 할 수있는 모든 간단한 제품을 나열합니다.","これは、設定可能な製品に関連することに適用可能であるすべての単純製品が一覧表示されます。","זה יוצג רשימה של כל המוצרים פשוטים שחלים להיות קשורים למוצר להגדרה.","Detta kommer att lista alla enkla produkter som gäller för att knytas till konfigurerbar produkt.","Tím se seznam všech jednoduché produkty,  které se vztahují na přidružení k konfigurovatelné produktu.","Это будет список всех простых продуктов,  которые применимы к быть связано с настраиваемой продукта.","Ito ay listahan ng lahat ng mga simpleng mga produkto na naaangkop na kaugnay sa configurable produkto.","Kini ilista ang tanan nga mga yano nga mga produkto nga magamit sa nga nakig sa configurable produkto.",
"This will list all the states of the country.","This will list all the states of the country.","Dit zal een lijst van alle staten van het land.","Esto mostrará una lista de todos los estados del país.","这将列出该国的所有状态。","Dadurch werden alle Staaten des Landes aufzulisten.","Cela va lister tous les états du pays.","Questo elenco di tutti gli stati del paese.","Isto irá listar todos os estados do país.","Αυτό θα εμφανίσει όλες τις πολιτείες της χώρας.","Będzie to lista wszystkich stanów kraju.","Dette vil liste alle stater i landet.","Tämä listaa kaikki jäsenvaltiot pystyvät.","Dette vil liste alle statene i landet.","وهذا سرد كافة ولايات البلاد.","이 나라의 모든 상태를 나열합니다.","これは、国のすべての状態が一覧表示されます。","זה יוצג רשימה של כל המדינות של המדינה.","Detta kommer att lista alla stater i landet.","To vypíše všechny státy v zemi.","Это будет список всех штатах страны.","Ito ay listahan ng lahat ng mga estado ng bansa.","Kini ilista ang tanan nga mga nag-ingon sa mga nasud.",
"This will list all the store groups.","This will list all the store groups.","Dit zal een lijst van alle groepen op te slaan.","Esto mostrará una lista de todos los grupos de tiendas.","这将列出所有的存储组。","Dadurch werden alle Speichergruppen-Liste.","Cela va lister tous les groupes de magasins.","Questo elenco di tutti i gruppi del deposito.","Isto irá listar todos os grupos de armazenamento.","Αυτό θα εμφανίσει όλες τις ομάδες κατάστημα.","Będzie to lista wszystkich grup sklepu.","Dette vil liste alle butiksgrupper.","Tämä listaa kaikki myymälä ryhmät.","Dette vil liste alle de store gruppene.","وهذه القائمة جميع الفئات المخزن.","이것은 모든 상점 그룹을 나열합니다.","これは、すべてのストアグループの一覧が表示されます。","זה יוצג רשימה של כל קבוצות החנות.","Detta kommer att lista alla butiksgrupperna.","Tím se seznam všech prodejen skupiny se.","Это будет список всех магазинов группы.","Ito ay listahan ng lahat ng mga grupo ng store.","Kini ilista ang tanan nga mga tindahan nga mga grupo.",
"This will list all the storeviews.","This will list all the storeviews.","Dit zal een lijst van alle storeviews.","Esto mostrará una lista de todos los storeviews.","这将列出所有storeviews。","Dadurch werden alle storeviews aufzulisten.","Cela listera toutes les storeviews.","Questo elencherà tutte le storeviews.","Isto irá listar todas as storeviews.","Αυτό θα εμφανίσει όλες τις storeviews.","Będzie to lista wszystkich storeviews.","Dette vil liste alle storeviews.","Tämä listaa kaikki storeviews.","Dette vil liste alle storeviews.","وهذه القائمة كل storeviews.","이 모든 storeviews을 나열합니다.","これは、すべてのstoreviewsが一覧表示されます。","זה יוצג רשימה של כל storeviews.","Detta kommer att lista alla storeviews.","Tím se seznam všech storeviews.","Это будет список всех storeviews.","Ito ay listahan ng lahat ng mga storeviews.","Kini ilista ang tanan nga mga storeviews.",
"This will list all the surveys.","This will list all the surveys.","Dit zal een lijst van alle enquêtes.","Esto mostrará una lista de todas las encuestas.","这将列出所有的调查。","Dadurch werden alle Umfragen auflisten.","Cela listera toutes les enquêtes.","Questo elenco di tutti i sondaggi.","Isto irá listar todas as pesquisas.","Αυτό θα εμφανίσει όλες τις έρευνες.","Będzie to lista wszystkich badań.","Dette vil liste alle de undersøgelser.","Tämä listaa kaikki tutkimukset.","Dette vil liste alle undersøkelsene.","وهذه القائمة جميع استطلاعات الرأي.","이 모든 조사를 나열합니다.","これは、すべての調査が一覧表示されます。","זה יפרט את כל הסקרים.","Detta kommer att lista alla undersökningar.","Tím se seznam všech průzkumů.","Это будет список всех обследований.","Ito ay listahan ng lahat ng mga survey.","Kini ilista ang tanan nga mga survey.",
"This will list all the tags added by customers and guests.","This will list all the tags added by customers and guests.","Dit zal een lijst van alle labels toegevoegd door klanten en gasten.","Esto mostrará una lista de todas las etiquetas agregadas por clientes y huéspedes.","这将列出所有的客户和嘉宾添加的标签。","Dadurch werden alle Tags hinzugefügt von Kunden und Gäste aufzulisten.","Cela va lister toutes les balises ajoutées par les clients et les clients.","Questo elencherà tutti i tag aggiunti dai clienti e ospiti.","Isto irá listar todas as tags adicionadas pelos clientes e convidados.","Αυτό θα εμφανίσει όλες τις ετικέτες προστεθεί από τους πελάτες και τους επισκέπτες.","Będzie to lista wszystkich tagów dodanych przez klientów i gości.","Dette vil liste alle tags tilføjet af kunder og gæster.","Tämä listaa kaikki tagit lisännyt asiakkaiden ja vierasta.","Dette vil liste alle kodene er lagt til av kunder og gjester.","وهذه القائمة جميع العلامات المضافة من قبل العملاء والضيوف.","이는 고객과 손님에 의해 추가 된 모든 태그를 나열합니다.","これにより、お客様とゲストが追加されたすべてのタグの一覧が表示されます。","זה יפרט את כל התגים הוסיפו על ידי לקוחות ואורחים.","Detta kommer att lista alla taggar som lagts till av kunder och gäster.","To vypíše všechny tagy přidané zákazníky a hosty.","Это будет список всех тегов,  добавленных клиентов и гостей.","Ito ay listahan ng lahat ng mga tag ay idinagdag sa pamamagitan ng mga customer at mga bisita.","Kini ilista ang tanan nga mga tag dugang pa sa mga kustomer ug mga bisita.",
"This will list all the tags of a product.","This will list all the tags of a product.","Dit zal een lijst van alle tags van een product.","Esto mostrará una lista de todas las etiquetas de un producto.","这将列出一个产品的所有标签。","Dadurch werden alle Tags von einer Produktliste.","Cela listera toutes les étiquettes d'un produit.","Questo elenco di tutte le variabili di un prodotto.","Isto irá listar todas as marcas de um produto.","Αυτό θα εμφανίσει όλες τις ετικέτες του προϊόντος.","Będzie to lista wszystkich tagów produktu.","Dette vil liste alle mærkerne for et produkt.","Tämä listaa kaikki tagit tuotteen.","Dette vil liste alle kodene av et produkt.","وهذه القائمة جميع العلامات للمنتج.","이 제품의 모든 태그를 나열합니다.","これは、製品のすべてのタグの一覧が表示されます。","זה יפרט את כל התגים של מוצר.","Detta kommer att lista alla taggar i en produkt.","Tím se seznam všech tagy produktu.","Это список всех тегов продукта.","Ito ay listahan ng lahat ng mga tag ng isang produkto.","Kini ilista ang tanan nga mga tag sa usa ka produkto.",
"This will list all the terms of the search.","This will list all the terms of the search.","Dit zal een lijst van alle voorwaarden van de zoektocht.","Esto mostrará una lista de todos los términos de la búsqueda.","这将列出搜索的所有条款。","Dadurch werden alle Bedingungen der Suchliste.","Cela va lister tous les termes de la recherche.","Questo elenco di tutti i termini della ricerca.","Isto irá listar todos os termos da pesquisa.","Αυτό θα εμφανίσει όλους τους όρους της αναζήτησης.","Będzie to lista wszystkich warunków wyszukiwania.","Dette vil liste alle betingelserne i søgningen.","Tämä listaa kaikki ehdot haku.","Dette vil liste alle vilkårene i søket.","وهذه القائمة كل شروط البحث.","이 검색의 모든 조건을 나열합니다.","これは、検索のすべての条項が一覧表示されます。","זה יפרט את כל תנאי החיפוש.","Detta kommer att lista alla villkor i sökningen.","To zobrazí všechny podmínky vyhledávání.","Это будет список всех условий поиска.","Ito ay listahan ng lahat ng mga tuntunin ng paghahanap.","Kini ilista ang tanan nga mga termino sa mga search.",
"This will list all the transactions for payment of the IncraShop and usage.","This will list all the transactions for payment of the IncraShop and usage.","Dit zal een lijst van alle transacties voor de betaling van de IncraShop en gebruik.","Esto mostrará una lista de todas las transacciones de pago de la IncraShop y el uso.","这将列出支付IncraShop和使用的所有交易。","Dadurch werden alle Transaktionen für die Zahlung der IncraShop und Nutzen Ihrer Liste.","Cela va lister toutes les transactions de paiement de la IncraShop et l'utilisation.","Questo elenco di tutte le operazioni di pagamento del IncraShop e il loro utilizzo.","Isto irá listar todas as transações de pagamento do IncraShop e uso.","Αυτό θα εμφανίσει όλες τις συναλλαγές για την καταβολή του IncraShop και τη χρήση.","Będzie to lista wszystkich transakcji dla płatności IncraShop i użytkowania.","Dette vil liste alle transaktioner for udbetaling af IncraShop og anvendelse.","Tämä listaa kaikki liiketoimet maksamisesta IncraShop ja käyttö.","Dette vil liste alle transaksjoner for betaling av IncraShop og bruk.","وهذا سرد كافة المعاملات لدفع IncraShop والاستعمال.","이 IncraShop 및 사용의 지불에 대한 모든 트랜잭션을 나열합니다.","これはIncraShopと利用の支払いのためのすべてのトランザクションが一覧表示されます。","זה יוצג רשימה של כל העסקות לתשלום IncraShop והשימוש.","Detta kommer att lista alla transaktioner för betalning av IncraShop och användning.","To vypíše všechny transakce pro výplatu IncraShop a používání.","Это будет список всех операций для оплаты IncraShop и использования.","Ito ay listahan ng lahat ng mga transaksyon para sa mga pagbabayad ng IncraShop at paggamit.","Kini ilista ang tanan nga mga transaksyon alang sa pagbayad sa mga IncraShop ug paggamit.",
"This will list all the translation tables.","This will list all the translation tables.","Dit zal een lijst van alle vertalingen tafels.","Esto mostrará una lista de todas las tablas de traducción.","这将列出所有的转换表。","Dies wird eine Liste aller Übersetzungstabellen.","Cela listera toutes les tables de traduction.","Questo elenco di tutte le tabelle di conversione.","Isto irá listar todas as tabelas de conversão.","Αυτό θα εμφανίσει όλους τους πίνακες μετάφρασης.","Będzie to lista wszystkich tablic translacji.","Dette vil liste alle oversættelse borde.","Tämä listaa kaikki Muunnostaulukoiden.","Dette vil liste alle omregningstabeller.","وهذه القائمة كافة الجداول الترجمة.","이것은 모든 변환 테이블을 나열합니다.","これは、すべての変換テーブルが一覧表示されます。","זה יפרט את כל שולחנות התרגום.","Detta kommer att lista alla tabeller översättnings.","Tím se seznam všech překladových tabulek.","Это будет список всех таблиц перевода.","Ito ay listahan ng lahat ng mga talahanayan ng pagsasalin.","Kini ilista ang tanan sa paghubad lamesa.",
"This will list all the upsell products of the current product.","This will list all the upsell products of the current product.","Dit zal een lijst van alle upsell producten van het huidige product.","Esto mostrará una lista de todos los productos de aumentar las ventas del producto actual.","这将列出当前产品的所有加售的产品。","Dadurch werden alle upsell Produkte der aktuellen Liste.","Cela va lister tous les produits de vente incitative du produit actuel.","Questo elenco di tutti i prodotti upsell del prodotto corrente.","Isto irá listar todos os produtos upsell do produto atual.","Αυτό θα εμφανίσει όλες τις upsell προϊόντα της τρέχουσας προϊόντος.","Będzie to lista wszystkich marżę produktów bieżącego produktu.","Dette vil liste alle de upsell produkter af den aktuelle.","Tämä listaa kaikki Upsell tuotteet nykyisessä tuote.","Dette vil liste alle oppsalg produkter av dagens produkt.","وهذه القائمة جميع المنتجات بسيل من المنتج الحالي.","이것은 현재 제품의 모든 상향 판매 제품을 나열합니다.","これは、現在の製品のすべてのアップセルの製品が一覧表示されます。","זה יוצג רשימה של כל מוצרי Upsell של המוצר הנוכחי.","Detta kommer att lista alla merförsäljning produkter av nuvarande.","Tím se seznam všech Upsell produkty aktuální produkt.","Это будет список всех дорогого товара продукты текущего продукта.","Ito ay listahan ng lahat ng upsell produkto ng kasalukuyang produkto.","Kini ilista ang tanan nga mga upsell produkto sa sa kasamtangan nga produkto.",
"This will list all the url rewrites.","This will list all the url rewrites.","Dit zal een lijst van alle URL herschrijft.","Esto mostrará una lista de todas las reescrituras de URL.","这将列出所有的URL重写。","Dadurch werden alle URL-Liste schreibt.","Cela listera toutes les réécritures d'URL.","Questo elencherà tutte le riscritture url.","Isto irá listar todas as regravações de URL.","Αυτό θα εμφανίσει όλες τις επανεγγραφές url.","Będzie to lista wszystkich przepisuje url.","Dette vil liste alle de url omskrivninger.","Tämä listaa kaikki URL uudelleenkirjoittaminen.","Dette vil liste alle url omskrivninger.","وهذه القائمة كل يعيد كتابة عنوان الموقع.","이 모든 URL 재 작성을 나열합니다.","これは、すべてのURLの書き換えが一覧表示されます。","זה יוצג רשימה של כל משכתב כתובת האתר.","Detta kommer att lista alla url omskrivningar.","Tím se seznam všech url přepisuje.","Это будет список всех URL переписывает.","Ito ay listahan ng lahat ng mga rewrite url.","Kini ilista ang tanan nga mga url magsulat pag-usab.",
"This will list all the usergroups.","This will list all the usergroups.","Dit zal een lijst van alle gebruikersgroepen.","Esto mostrará una lista de todos los Grupos de Usuarios.","这将列出所有的用户组。","Dadurch werden alle Benutzergruppen auflisten.","Cela va lister tous les groupes d'utilisateurs.","Questo elenco di tutti i gruppi di utenti.","Isto irá listar todos os grupos de usuários.","Αυτό θα εμφανίσει όλες τις ομάδες μελών.","Będzie to lista wszystkich grup użytkowników.","Dette vil liste alle brugergrupper.","Tämä listaa kaikki käyttäjäryhmiä.","Dette vil liste alle brukergruppene.","وهذا سرد كافة المستخدمين.","이것은 모든 사용자 그룹을 나열합니다.","これは、すべてのユーザーグループが一覧表示されます。","זה יוצג רשימה של כל הקבוצות המשתמשת.","Detta kommer att lista alla användargrupper.","Tím se seznam všech uživatelských skupin.","Это список всех существующих группах.","Ito ay listahan ng lahat ng mga usergroups.","Kini ilista ang tanan nga mga usergroups.",
"This will list all the users.","This will list all the users.","Dit zal een lijst van alle gebruikers.","Esto mostrará una lista de todos los usuarios.","这将列出所有用户。","Dies wird alle Benutzer aufzulisten.","Cela va lister tous les utilisateurs.","Questo elenco di tutti gli utenti.","Isto irá listar todos os usuários.","Αυτό θα εμφανίσει όλους τους χρήστες.","Będzie to lista wszystkich użytkowników.","Dette vil liste alle brugere.","Tämä listaa kaikki käyttäjät.","Dette vil liste alle brukerne.","وهذا كل المستخدمين القائمة.","이 모든 사용자를 나열합니다.","これは、すべてのユーザーが一覧表示されます。","זה יוצג רשימה של כל המשתמשים.","Detta kommer att lista alla användare.","To vypíše všechny uživatele.","Это будет список всех пользователей.","Ito ay listahan ng lahat ng mga gumagamit.","Kini ilista ang tanan nga mga tiggamit.",
"This will list all the values in a translation table.","This will list all the values in a translation table.","Dit zal een lijst van alle waarden in een vertaling tafel.","Esto mostrará una lista de todos los valores en una tabla de traducción.","这将列出在转换表中的所有值。","Dadurch werden alle Werte in einer Übersetzungstabelle aufzulisten.","Cela listera toutes les valeurs d'une table de traduction.","Questo elenco di tutti i valori in una tabella di traduzione.","Isto irá listar todos os valores em uma tabela de conversão.","Αυτό θα εμφανίσει όλες τις τιμές σε έναν πίνακα μετάφρασης.","Będzie to lista wszystkich wartości w tablicy translacji.","Dette vil liste alle værdierne i en oversættelse tabel.","Tämä listaa kaikki arvot käännös taulukossa.","Dette vil liste alle verdiene i en oversettelse tabellen.","وهذا سرد كافة القيم في جدول الترجمة.","이 변환 테이블의 모든 값을 나열한다.","これは、変換テーブル内のすべての値が一覧表示されます。","זה יוצג רשימה של כל הערכים בטבלת תרגום.","Detta kommer att lista alla värden i en översättningstabell.","To vypíše všechny hodnoty v překladu tabulce.","Это будет список всех значений в таблице перевода.","Ito ay listahan ng lahat ng mga halaga sa isang translation table.","Kini ilista ang tanan nga ang mga mithi sa usa ka paghubad sa lamesa.",
"This will list all the website featuers of different websites (superadmin only).","This will list all the website featuers of different websites (superadmin only).","Dit zal een lijst van alle website featuers van verschillende websites (superadmin only).","Esto mostrará una lista de todos los featuers sitio web de diferentes sitios web (superadmin solamente).","这将列出不同的网站的所有网页featuers（超级管理员只）。","Dadurch werden alle Website featuers verschiedene Websites (superadmin nur) aufzulisten.","Cela va lister tous les site web featuers de sites différents (superadmin seulement).","Questo elenco di tutti i siti web featuers siti web (superadmin solo).","Isto irá listar todas as featuers website de diferentes sites (superadmin apenas).","Αυτό θα εμφανίσει όλες τις ιστοσελίδας featuers διαφορετικές ιστοσελίδες (superadmin μόνο).","Będzie to lista wszystkich featuers stronie internetowej różnych stronach internetowych (superadmin tylko).","Dette vil liste alle de hjemmeside featuers af forskellige hjemmesider (superadmin kun).","Tämä listaa kaikki verkkosivuilla featuers eri verkkosivustoja (SuperAdmin vain).","Dette vil liste alle nettsted featuers av forskjellige nettsteder (Superadmin only).","وهذه القائمة كل featuers موقع من المواقع المختلفة (superadmin فقط).","이것은 다른 웹 사이트의 모든 웹 사이트 featuers을 (수퍼 관리자 만 해당)이 나열됩니다.","これは、異なるウ​​ェブサイトのすべてのウェブサイトののfeatuersを（superadminのみ）をリストします。","זה יוצג רשימה של כל featuers של אתרים שונים באתר (superadmin בלבד).","Detta kommer att lista alla webb featuers av olika webbplatser (superadmin endast).","To zobrazí seznam všech internetových stránkách featuers různých webových stránek (superadmin pouze).","Это будет список всех веб-сайтов Featuers различных веб-сайтов (суперамин только).","Ito ay listahan ng lahat ng mga featuers website ng iba't-ibang mga website (superadmin lamang).","Kini ilista ang tanan nga mga website featuers sa lain-laing mga website (superadmin lamang).",
"This will list all the websites for all clients.","This will list all the websites for all clients.","Dit zal een lijst van alle websites voor alle klanten.","Esto mostrará una lista de todos los sitios web de todos los clientes.","这将列出所有客户端的所有网站。","Dadurch werden alle Seiten für alle Clients aufzulisten.","Cela va lister tous les sites pour tous les clients.","Questo elenco di tutti i siti web per tutti i clienti.","Isto irá listar todos os sites para todos os clientes.","Αυτό θα εμφανίσει όλες τις ιστοσελίδες για όλους τους πελάτες.","Będzie to lista wszystkich stron internetowych dla wszystkich klientów.","Dette vil liste alle de hjemmesider for alle klienter.","Tämä listaa kaikki sivustot kaikille asiakkaille.","Dette vil liste alle nettsteder for alle klienter.","وهذه القائمة جميع المواقع لجميع العملاء.","이 모든 클라이언트에 대한 모든 웹 사이트를 나열합니다.","これは、すべてのクライアントのためにすべてのWebサイトの一覧が表示されます。","זה יוצג רשימה של כל האתרים לכל הלקוחות.","Detta kommer att lista alla webbplatser för alla klienter.","To vypíše všechny webové stránky pro všechny klienty.","Это будет список всех веб-сайтов для всех клиентов.","Ito ay listahan ng lahat ng mga website para sa lahat ng mga kliyente.","Kini ilista ang tanan nga mga websites alang sa tanan nga mga kliyente.",
"This will list all the websites of a client.","This will list all the websites of a client.","Dit zal een lijst van alle websites van een cliënt.","Esto mostrará una lista de todos los sitios web de un cliente.","这将列出一个客户的所有网站。","Dadurch werden alle Seiten eines Client-Liste.","Cela va lister tous les sites d'un client.","Questo elenco di tutti i siti web di un cliente.","Isto irá listar todos os sites de um cliente.","Αυτό θα εμφανίσει όλες τις ιστοσελίδες του πελάτη.","Będzie to lista wszystkich stron internetowych klienta.","Dette vil liste alle de hjemmesider i en klient.","Tämä listaa kaikki sivustot asiakkaan.","Dette vil liste alle hjemmesidene til en klient.","وهذه القائمة جميع مواقع العميل.","이것은 클라이언트의 모든 웹 사이트를 나열합니다.","これは、クライアントのすべてのウェブサイトが一覧表示されます。","זה יוצג רשימה של כל אתרי האינטרנט של הלקוח.","Detta kommer att lista alla webbplatser i en klient.","Tím se seznam všech internetových stránkách klienta.","Это будет список всех веб-сайтов клиента.","Ito ay listahan ng lahat ng mga website ng isang client.","Kini ilista ang tanan nga mga website sa usa ka kliyente.",
"This will list all the wishlist items of the customer or guest.","This will list all the wishlist items of the customer or guest.","Dit zal een lijst van alle op het verlanglijstje van de klant of gast.","Esto mostrará una lista de todos los elementos en su lista del cliente o invitado.","这将列出客户或客户的全部心愿的项目。","Dadurch werden alle Einträge in der Wunschliste des Kunden oder Gästeliste.","Cela va lister tous les éléments de la liste de client ou invité.","Questo elenco di tutte le voci di desideri del cliente o ospite.","Isto irá listar todos os itens na lista de desejos do cliente ou convidado.","Αυτό θα εμφανίσει όλα τα στοιχεία της λίστας επιθυμίας του πελάτη ή επισκέπτη.","Będzie to lista wszystkich pozycji na liście życzeń klienta lub gościa.","Dette vil liste alle ønskeseddel af kunden eller gæst.","Tämä listaa kaikki toivelista kohteita asiakkaan tai vieras.","Dette vil liste alle ønskeliste elementer av kunden eller gjesten.","وهذا سرد جميع العناصر مفضلة للعميل أو ضيف.","이것은 고객 또는 고객의 모든 위시리스트 항목을 나열합니다.","これは、顧客またはゲストのすべてのウィッシュリストの項目が一覧表示されます。","זה יפרט את כל פריטי רשימת המשאלות של הלקוח או אורח.","Detta kommer att lista alla oöppnade kundens eller gäst.","Tím se seznam všech položku v seznamu přání zákazníka,  nebo host.","Это будет список всех желаний товар клиенту или гостю.","Ito ay listahan ng lahat ng mga listahan ng mga gusto ng mga item ng mga customer o bisita.","Kini ilista ang tanan nga mga wishlist mga butang sa mga customer o bisita.",
"This will list all the wishlist items of the customer.","This will list all the wishlist items of the customer.","Dit zal een lijst van alle op het verlanglijstje van de klant.","Esto mostrará una lista de todos los elementos en su lista del cliente.","这将列出客户的所有心愿的项目。","Dadurch werden alle Einträge in der Wunschliste der Kundenliste.","Cela va lister tous les éléments de la liste de clients.","Questo elenco di tutte le voci di desideri del cliente.","Isto irá listar todos os itens na lista de desejos do cliente.","Αυτό θα εμφανίσει όλα τα στοιχεία της λίστας επιθυμίας του πελάτη.","Będzie to lista wszystkich liście życzeń pozycji klienta.","Dette vil liste alle ønskeseddel hos kunden.","Tämä listaa kaikki toivelista kohteita asiakkaan.","Dette vil liste alle ønskeliste er tom for kunden.","وهذا سرد جميع العناصر مفضلة للعميل.","이것은 고객의 모든 위시리스트 항목을 나열합니다.","これは、顧客のすべてのウィッシュリストの項目が一覧表示されます。","זה יפרט את כל פריטי רשימת המשאלות של הלקוח.","Detta kommer att lista alla oöppnade av kunden.","Tím se seznam všech položku v seznamu přání zákazníka.","Это будет список всех желаний товар заказчику.","Ito ay listahan ng lahat ng mga listahan ng mga gusto ng mga item ng mga customer.","Kini ilista ang tanan nga mga wishlist butang sa mga customer.",
